Name,Spec,Name
CJ ENM 락토페린 쏙 다이어트 시크릿,"[주요성분] 락토페린/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 20주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 락토페린: 270mg/비타민B6: 0.45mg/판토텐산: 1.5mg/아연: 3mg"
인포벨 5육七 관절타이밍입 세트,"[주요성분] MSM/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/총량: 240정/섭취기간: 4개월/형태: 캡슐,정/특징: 선물세트/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] MSM: 1,500mg/칼슘: 210mg/마그네슘: 110mg"
일동제약 지큐랩 콜레스테롤 솔루션,"[주요성분] 포스트 바이오틱스/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강, 혈중 콜레스테롤 개선/
[기능성분] 열처리배양균체 수: 1000억cells"
일동후디스 하이뮨 프로틴 밸런스,"단백질보충제/종류: 산양유, 분리대두단백(ISP)/
[섭취정보] 섭취대상: 성인남녀/형태: 음료(액상)/
[영양정보] 표시기준량: 190ml/열량: 165kcal/단백질: 10g"
자연식품 무안 자색 양파즙,건강즙/양파즙/섭취대상: 성인남녀/자색양파 100%
정관장 홍삼진고 데일리스틱,"홍삼/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1포/섭취기간: 10일분/특징: 스틱형/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
조아제약 잘크톤 하이,"[주요성분] 비타민B/
[섭취정보] 섭취대상: 영유아~어린이/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 음료(액상)/특징: 스틱형"
종근당건강 관절연골엔 MSM,"[주요성분] MSM/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/총량: 720정/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 관절, 연골 건강/
[기능성분] MSM: 1,500mg/비타민D: 10㎍"
종근당건강 닥터케어 캔서코치,"암환자용 영양식/형태: 음료(액상)/특징: 고단백/
[영양정보] 1회제공량 200ml당 열량: 200kcal/탄수화물: 28g/당류: 7g/단백질: 12g/지방: 5g/포화지방: 1.5g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 180mg"
종근당건강 락토핏 생유산균 코어맥스,"[주요성분] 프로바이오틱스/보장균수(CFU): 30억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 600포/섭취기간: 20개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 배변활동 원활, 장 건강/
[기능성분] 아연: 8.5mg"
종근당건강 락토핏 솔루션 중성지방,"[주요성분] 프로바이오틱스/보장균수(CFU): 40억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소"
종근당건강 락토핏 인지력케어,"섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/형태: 분말/특징: 스틱형/건강기능식품/GMP"
종근당건강 리얼맨 쏘팔메토 옥타,"[주요성분] 쏘팔메토/옥타코사놀/
[섭취정보] 섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 90캡슐/섭취기간: 3개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 전립선 건강, 지구력 증진/
[기능성분] 로르산: 115mg/옥타코사놀: 10mg/아연: 8.5mg/셀렌: 55㎍/비타민B6: 1.5mg/비타민B1: 1.2mg/비타민B2: 1.4mg"
종근당건강 아이클리어 루테인지아잔틴 ACE,"[주요성분] 루테인/지아잔틴/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 720캡슐/섭취기간: 24개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 눈 건강/
[기능성분] 루테인: 18.182mg/지아잔틴: 1.818mg/비타민A: 700㎍RE/비타민B1: 1.2mg/비타민B2: 1.4mg/비타민B6: 1.5mg/비타민E: 11mgα-TE/비타민D: 10㎍/아연: 8.5mg"
종근당건강 아임비타 이뮨샷,"[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1병/형태: 캡슐,정+음료(액상)/
[인증] 건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 피부 건강, 항산화/액상20mlx30개/정제700mgx30개/캡슐500mgx30개"
종근당건강 종근당 프리바이오틱스 트리플,"프리바이오틱스/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 2개월분/특징: 스틱형/건강기능식품/GMP"
종근당건강 헬씨칸 로얄,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐 /섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비타민B1: 12mg/비타민B2: 14mg/비타민B6: 15mg/비타민D: 10㎍/비타민E: 11mgα-TE"
종근당건강 혈행건강 프로메가 알티지 오메가3 듀얼 비타민D,"[주요성분] 오메가3/rTG형(3세대)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 600캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 600mg/비타민E: 11mgα-TE/비타민D: 100㎍"
주영엔에스 관절엔 콘드로이친 1200,"[주요성분] 콘드로이친/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 600정/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] Chondroitin sulfate sodium: 1,080mg"
주영엔에스 뼈엔 엠비피 MBP,"[주요성분] MBP(유단백)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 300캡슐/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 뼈 건강/
[기능성분] 락토페린: 23.2mg"
지비엠에스 더 흑염소 진액,"건강즙/흑염소즙/섭취횟수, 양: 1일 1회, 1회 1포/흑염소 3.2%"
지비엠에스 레드플러스 청양구기자 발효농축분말입 세트,"건강분말/배도라지즙/구기자/형태: 분말/섭취횟수, 양: 1일 1~2회, 1회 1스푼/구기자발효추출농축액 60%/특징: 선물세트"
지케이라이프 로지나 미녀의 석류 콜라겐,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 50포/섭취기간: 50일/형태: 젤리/특징: 스틱형"
참들식품 푸드버킷 저온추출 초임계 rTG 알티지 오메가3 식물성캡슐,"[주요성분] 오메가3/rTG형(3세대)/초임계(저온 추출법)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 600mg/비타민E: 3.3mgα-TE"
천호엔케어 데일리코어 관절연골엔 MSM,"[주요성분] MSM/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 720정/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 관절, 연골 건강"
천호엔케어 데일리코어 면역엔 알로에뮨,"[주요성분] 알로에겔/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 15포/섭취기간: 15일/형태: 젤리/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 면역력 증진, 장 건강, 피부 건강/
[기능성분] 총 다당체: 100mg"
천호엔케어 데일리코어 혈당엔 바나바,"[주요성분] 코로솔산(바나바잎)/녹차추출물(카테킨)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 체지방감소, 항산화, 혈당조절, 혈중 콜레스테롤 개선/
[기능성분] 코로솔산: 1.3mg/카테킨: 300mg"
천호엔케어 흑염소 진옥고,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소 15%/특징: 스틱형"
체크오 아르타민,"헬스보충제/종류: 아르기닌/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/섭취기간: 2주/형태: 분말/특징: 스틱형"
코스맥스바이오 닥터리본 블루 이뮨 올인원 밸런스,"[주요성분] 멀티비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민C: 1,000mg/비타민D: 10㎍/판토텐산: 100mg/엽산: 200㎍/비오틴: 300㎍/마그네슘: 94.5mg/아연: 2.55mg/셀렌: 50㎍"
코스맥스바이오 밸런스 프로틴 하이셀 슬림,"단백질보충제/가르시니아(HCA)/프리바이오틱스/종류: 산양유, 농축유청단백(WPC), 분리대두단백(ISP), 분리우유단백(MPI)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2스푼/형태: 분말/
[인증] 건강기능식품/GMP/기능성: 골다공증발생 위험 감소, 배변활동 원활, 뼈 건강, 영양보충, 장 건강, 체지방감소/
[영양·기능정보] 표시기준량: 38g/열량: 135kcal/단백질: 18g/HCA: 750mg/프락토올리고당: 3g/비타민B6: 3mg/비타민D: 20㎍/칼슘: 350mg/아연: 2.55mg"
코스맥스바이오 콴첼 뮤코다당단백 콘드로이친 플러스,"[주요성분] 콘드로이친(뮤코다당 단백)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 2정/섭취기간: 1개월분/형태: 캡슐,정/건강기능식품/기능성: 관절, 연골 건강"
코스맥스엔비티 비네이쳐 아누카 리치,"건강분말/사과/형태: 분말/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회,1회 1포/특징: 스틱형"
팜스빌 애플트리김약사네 PS 바로 느껴지는 미인콜라겐 플러스,"[주요성분] 콜라겐/피쉬 콜라겐 펩타이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 168포/섭취기간: 12주/형태: 분말/특징: 스틱형"
팜스빌 애플트리김약사네 그린 눈건강 수퍼루테인 아이포뮬라,"[주요성분] 루테인/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 눈 건강/
[기능성분] 루테인: 20mg/베타카로틴: 1.26ml/비타민E: 3.3mgα-TE"
팜스빌 애플트리김약사네 벨기에 유산균 다이어트 트리플러스,"[주요성분] 신바이오틱스/가르시니아(HCA)/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 168포/섭취기간: 24주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] 프락토올리고당: 3,000mg/HCA: 750mg"
팜스빌 애플트리김약사네 혈당살리도,"[주요성분] 코로솔산(바나바잎)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 분말/
[인증] 건강기능식품/GMP/기능성: 혈당조절/
[기능성분] 코로솔산: 1.3mg/비타민B1: 1.2mg/비타민B2: 1.4mg/판토텐산: 5mg/비오틴: 30㎍/크롬: 15㎍/아연: 8.5mg"
펄세스 크릴56,"[주요성분] 크릴오일/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)"
풍기인삼농협 황풍정 홍삼정 원데이스틱,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드] 진세노사이드 1일 함량: 4mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 10%(고형분 60%)/배합비율: 홍삼근 70%, 홍미삼 30%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
프롬바이오 간건강엔 밀크씨슬,"[주요성분] 밀크씨슬/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/B1: 1.2mg/B2: 1.4mg/B3(나이아신): 15mgNE/B5(판토텐산): 5mg/B6: 1.5mg/B7(비오틴): 40㎍/B9(엽산): 215㎍"
프롬바이오 간건강엔 밀크씨슬 플러스 비오틴,"[주요성분] 밀크씨슬/비오틴/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 간 건강/
[기능성분] 실리마린: 130mg/비오틴: 40㎍/C: 100mg/나이아신: 15mgNE/아연: 8.5mg/비타민B1: 1.2mg/비타민B2: 1.4mg/판토텐산: 5mg/비타민B6: 1.5mg/엽산: 400㎍"
프롬바이오 관절엔 크릴오일,"[주요성분] 크릴오일/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 720캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/기능성: 관절 건강/EPA+DHA: 307.5mg"
프롬바이오 관절엔 크릴오일입 세트,"[주요성분] 크릴오일/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 180캡슐/섭취기간: 3개월/형태: 캡슐,정/특징: 선물세트, 개별포장(PTP)/기능성: 관절 건강/EPA+DHA: 307.5mg"
프롬바이오 관절연골엔 보스웰리아,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 30정/섭취기간: 15일/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] AKBA+KBA: 71mg/비타민D: 3μg/마그네슘: 94.5mg/아연: 2.55mg/셀레늄: 16.5μg/망간: 0.9mg"
프롬바이오 관절연골엔 보스웰리아입 세트,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 600캡슐 /섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] AKBA+KBA: 71mg/비타민D: 3μg/마그네슘: 94.5mg/아연: 2.55mg/셀레늄: 16.5μg/망간: 0.9mg"
프롬바이오 관절연골엔 보스웰리아 라이트,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 14포/섭취기간: 2주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] AKBA+KBA: 71mg"
프롬바이오 관절연골엔 보스웰리아 이지,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 7포 x 3개/섭취기간: 21일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] AKBA+KBA: 71mg"
프롬바이오 뼈건강엔 칼마디 PGA 플러스,"[주요성분] 칼마디/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/총량: 60정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 골다공증발생 위험 감소, 뼈 건강/
[기능성분] 칼슘: 300mg/마그네슘: 150mg/비타민D: 10㎍"
프롬바이오 활력건강엔 멀티비타민,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 60정/섭취기간: 1개월/형태: 젤리/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민A: 221㎍RE/비타민D: 3.2㎍/비타민E: 3.74mgα-TE/비타민B1: 0.56mg/비타민B2: 0.42mg/나이아신: 5.04mgNE/판토텐산: 1.72mg/비타민B6: 1.03mg/엽산: 214㎍/비타민B12: 1.05㎍/비타민C: 54mg/아연: 3.63mg/셀렌: 16.5㎍"
한국생활건강 팔레오 고단백 산양유 프로틴 플러스 류신,"단백질보충제/종류: 류신/종류: 산양유, 분리대두단백(ISP)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2스푼/섭취기간: 1주/형태: 분말/
[영양정보] 표시기준량: 40g/열량: 150kcal/단백질: 25g"
한국생활건강 팔레오 고칼슘 산양유 프로틴,"단백질보충제/종류: 산양유/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 40g/섭취기간: 12주/형태: 분말/
[영양정보] 칼슘/표시기준량: 40g/열량: 150kcal/단백질: 25g"
한국생활건강 팔레오 닥터스노트 백옥 글루타치온,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 60정/섭취기간: 2개월/형태: 캡슐,정"
한국생활건강 팔레오 닥터스노트 백옥 글루타치온 맥스,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형"
한국생활건강 팔레오 닥터스노트 백옥 글루타치온 코어,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 분말/특징: 스틱형"
한국생활건강 팔레오 닥터스노트 초임계 알티지 오메가3,"[주요성분] 오메가3/rTG형(3세대)/초임계(저온 추출법)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 600mg/비타민D: 10㎍/비타민E: 11mgα-TE"
한국생활건강 팔레오 닥터스노트 촉촉피부 다이어트,"[주요성분] 히알루론산/가르시니아(HCA)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 체지방감소, 피부 보습/
[기능성분] HCA: 750mg/히알루론산: 120mg"
한국생활건강 팔레오 슈퍼올인원 멀티비타민 종합영양제,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 60정/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 영양보충/
[기능성분] 비타민A: 700㎍RE/비타민B1: 12mg/비타민B2: 14mg/비타민B6: 15mg/B12: 24㎍/비타민C: 100mg/비타민D: 10㎍/비타민E: 11mg: α-TE/비타민K: 70㎍/나이아신: 15mg: NE/판토텐산: 5mg/엽산: 400㎍/비오틴: 30㎍/철: 12mg/아연: 8.5mg/구리: 0.8mg/셀렌: 55㎍/요오드:"
한국인삼공사 정관장 홍삼정 에브리타임 밸런스,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/특징: 스틱형/
[진세노사이드] 진세노사이드 1일 함량: 7mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 21%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한국인삼공사 정관장 홍삼진고 데일리스틱,"홍삼/형태: 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1포/특징: 스틱형/
[진세노사이드] 진세노사이드 1일 함량: 3.7mg/
[원재료/함량] 원재료: 6년근/홍삼농축액 5%(고형분 64%)/배합비율: 홍삼근 75%, 홍미삼 25%/
[인증] 건강기능식품/기능성: 기억력 개선, 면역력 증진, 피로 개선, 항산화, 혈행개선"
한미양행 글루타치온 화이트 홀릭,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 120포/섭취기간: 4개월/형태: 분말/특징: 스틱형"
헬스밸런스 스키니랩 다이글로핏 다이어트,"섭취대상: 여성, 남성/섭취횟수, 양: 1일 1회, 1정/섭취기간: 2주분/형태: 캡슐,정/건강기능식품/기능성: 체지방감소"
헬스밸런스 스키니랩 락토페린 다이어트 300,"[주요성분] 락토페린/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 20주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 락토페린: 270mg/비타민D: 10㎍/비오틴: 40㎍"
헬스밸런스 스키니랩 모로실 다이어트 C,"[주요성분] 모로오렌지(모로실C3G)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 8주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] Cyanidin-3-O-glucoside: 2.2mg/비타민C: 100mg/셀렌: 55㎍/판토텐산: 5mg"
헬스밸런스 스키니랩 수국 리세린지 다이어트,"[주요성분] 수국잎 열수추출물/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 24주/형태: 캡슐,정/
[인증] 건강기능식품/
[기능성분] Hydrangenol: 4.608mg"
헬씨허그 소연골 콘드로이친 1200 알파플러스,섭취대상: 성인남녀/섭취대상:성인남녀
홀랜드앤바렛 ABC-Z 종합비타민 & 무기질,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 60정/섭취기간: 2개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민A: 490㎍RE/비타민B1: 1.1mg/비타민B2: 0.9mg/비타민B6: 1.1mg/비타민B12: 4.3㎍/비타민C: 75mg/비타민D: 8.5㎍/비타민E: 15mgα-TE/나이아신: 17mgNE/판토텐산: 4.8mg/엽산: 180㎍/비오틴: 32㎍/철: 11mg (쇼핑몰 상세정보 확인)"
홀랜드앤바렛 ABC-Z 종합비타민&무기질입 세트,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 180정/섭취기간: 6개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민A: 490㎍RE/비타민B1: 1.1mg/비타민B2: 0.9mg/비타민B6: 1.1mg/비타민B12: 4.3㎍/비타민C: 75mg/비타민D: 8.5㎍/비타민E: 15mgα-TE/나이아신: 17mgNE/판토텐산: 4.8mg/엽산: 180㎍/비오틴: 32㎍/철: 11mg (쇼핑몰 상세정보 확인)"
휴럼 비너지 대마종자유,"[주요성분] 대마종자유/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 300캡슐/섭취기간: 10개월/형태: 캡슐,정"
휴럼 트루락 황후의 유산균,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 28캡슐/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강"
휴온스 면역 이뮨 프로바이오틱스,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 60캡슐/섭취기간: 2개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 면역력 증진"
휴온스 박미선 여성 갱년기유산균YT1 엘루비메노락토 식약처인증 중년층 여자 장건강 50대 60대 영양제 배,섭취대상: 성인여성/홍삼/건강식품/유산균/프로바이오틱스
휴온스 살사라진 락토페린 다이어트,"[주요성분] 락토페린/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 24주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 락토페린: 270mg"
휴온스 엘루비 메노락토 프로,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1포/총량: 15포/섭취기간: 15일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강"
휴온스 엘루비 메노락토 프로바이오틱스,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 90캡슐/섭취기간: 3개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강"
휴온스 엘루비 메노락토 프로바이오틱스입,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 90캡슐/섭취기간: 3개월/형태: 캡슐,정/특징: 선물세트, 개별포장(PTP)/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강"
휴온스 엘루비 메노락토 프리미엄,"[주요성분] 프로바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 갱년기 개선, 배변활동 원활, 장 건강, 항산화/
[기능성분] 비오틴: 30㎍/비타민B1: 1.2mg/비타민D: 10㎍/셀렌: 55㎍/엽산: 400㎍"
휴온스 와이티원 박미선 여성 갱년기 유산균 YT1 메노락토 프로월분,프로바이오틱스/섭취대상: 성인여성
휴온스내츄럴 이너셋 관절건강 MSM,"[주요성분] MSM/N-아세틸글루코사민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1회 1정/총량: 60정/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] MSM: 1,500mg/N-아세틸글루코사민: 500mg/비타민D: 10㎍"
